SMILES,LogD {measured},UNIT {LogD},pH,UNIT {pH},Temperature,UNIT {Temperature},logPow Method,logPow Buffer,Ionic strength,UNIT {Ionic strength},Species,Test duration,Material Nanoparticles of Elements,APS,UNIT {APS},Explosure concentration,UNIT {Explosure concentration},Crystal structure of nanoparticles,Ionisable
CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,1.31,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2,3.62,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
ClC1=CC=CC(Cl)=C1NC1=NCCN1,0.29,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
[H]N1C2=C(N=C3C([H])=C([H])C([H])=C([H])C3=C1N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])=C([H])C(Cl)=C2[H],3.38,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,0.48,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
COC1=C2O[C@H]3[C@@H](O)C=C[C@H]4[C@H]5CC(C=C1)=C2[C@@]34CCN5C,0.39,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
COC1=C(OC)C(OC)=C2C(CC[C@H](NC(C)=O)C3=CC(=O)C(OC)=CC=C23)=C1,0.9,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
ClC1=CC2=C(NC(=O)CN=C2C2=C(Cl)C=CC=C2)C=C1,3.16,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCCCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1,6.99,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1.3,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
ClC1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,3.26,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,2.98,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
