smiles,logP
CCC(=O)c1ccccc1O,2.54
O=C(O)Cc1c[nH]c2ccccc12,1.41
C=CC(C)(O)CCC=C(C)C,2.97
CN(c1ccccc1)c1ccccc1,3.9
COC(=O)c1ccccc1C(=O)c1ccccc1,2.7
N#CCCCC#N,-0.72
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,1.46
O=c1[nH]c2ccccc2o1,1.16
OCc1ccccc1O,0.73
COc1ccccc1O,1.32
CC1CCC(=O)CC1,1.38
COC(=O)c1ccc(O)cc1,1.96
CN(C=O)c1ccccc1,1.09
Cc1ccc(O)c(C)c1,2.3
COc1ccccc1OC(C)=O,1.38
Cc1c(C)c(C)c(C)c(C)c1C,5.11
Clc1nc(=Nc2ccccc2Cl)nc(Cl)[nH]1,3.88
c1ccc(-c2cccc(-c3ccccn3)n2)nc1,1.96
CCCCCCCCCCCC(=O)OCCCC,6.51
NC(CC(=O)O)C(=O)O,-3.89
Brc1cccnc1,1.6
O=C(O)c1cccc(Br)c1,2.87
O=C(O)c1cc(Br)ccc1O,3.23
COc1cc(C(=O)O)ccc1O,1.43
CC(=O)Nc1ccccc1O,0.72
CC(=O)Nc1cccc(O)c1,0.73
CC(=O)Nc1ccc(O)cc1,0.46
Cc1ccc(CO)cc1,1.58
CC(=O)Nc1ccccc1C(=O)O,1.88
CC(=O)Nc1cccc(C(=O)O)c1,1.32
CC(=O)Nc1ccc(C(=O)O)cc1,1.31
COc1ccccc1NC(C)=O,0.67
COc1cccc(NC(C)=O)c1,1.3
CCCCCCCCCC(C)=O,4.09
OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,-1.35
O=C(C(=O)c1ccccc1)c1ccccc1,3.38
OC(c1ccccc1)(c1ccccc1)c1ccccc1,3.68
CCCNCCC,1.67
NNc1ccc([N+](=O)[O-])cc1,1.41
CCN,-0.13
O=[N+]([O-])c1cc(Cl)c(O)c(Cl)c1,2.94
COc1ccc(Cl)cc1,2.78
COC(=O)c1ccccc1[N+](=O)[O-],1.66
COC(=O)c1ccc([N+](=O)[O-])cc1,1.89
COc1ccc(OC)c(N)c1,1.2
CCCCC(CC)C(=O)O,2.64
O=[N+]([O-])c1ccc2ncccc2c1,1.82
CCOC(=O)c1ccccc1N,2.57
O=Nc1c(O)ccc2ccccc12,2.28
Cc1ccc2ncccc2c1,2.47
Nc1ccc2ccccc2c1,2.28
Nc1cccc2ccccc12,2.25
CC(=O)Nc1c(C)cc(C)cc1[N+](=O)[O-],1.18
Cc1ccc(C(C)C)cc1,4.1
Cc1cc(O)ccc1Cl,3.1
CC1=CC(=O)c2ccccc2C1=O,2.2
COc1ccc2ccccc2c1,3.47
CCCCCCCCCCCCCCCC(=O)OC,7.38
Cc1c2ccccc2c(C)c2ccccc12,5.69
COc1ccc(OCC(=O)O)cc1,1.23
c1cnc2c(c1)ccc1cccnc12,2.05
O=C(O)c1ccccc1Nc1ccccc1,4.36
O=C1C(=Nc2ccccc2)C(Cl)C(=O)c2ccccc21,4.22
Clc1cc(Cl)cc(Cl)c1,4.19
CC(C)(O)C(=O)O,-0.36
Cc1ccc(C)[nH]1,1.47
O=C(/C=C/c1ccccc1)c1ccccc1,3.08
Nc1cccc(C(F)(F)F)c1,2.29
CC(=O)OCc1ccccc1,1.96
c1ccc(Sc2ccccc2)cc1,4.45
CCCCCCCCCCCCc1ccccc1,8.65
O=C1CCCO1,-0.64
O=C1CCCN1,-0.85
CN1CCCC1=O,-0.38
CC(C)(O)C(Cl)(Cl)Cl,2.03
O=C(O)Cc1ccc(I)cc1,2.64
Nc1ccc(Oc2ccccc2)cc1,2.96
CC(C)(C)O,0.35
Clc1ccccn1,1.22
Nc1cc([N+](=O)[O-])ccc1O,1.26
COc1ccc(F)cc1,2.26
Clc1ccc2ncccc2c1,2.73
COc1ccc(NC(C)=O)cc1,1.03
CCOC(=O)c1ccc(N)cc1,1.86
c1ccc(Cc2ccccc2)cc1,4.14
Nc1ccc(Cc2ccc(N)cc2)cc1,1.59
NNC(N)=O,-2.75
CN1CSC(=S)N(C)C1,1.4
Nc1ccccc1S,1.43
O=C(O)c1ccc(O)cc1O,1.63
C=CCOc1ccccc1,2.94
Nc1ccc(S(=O)(=O)N=c2cccc[nH]2)cc1,0.35
O=[N+]([O-])c1ccccc1Nc1ccccc1,3.66
C=CC(=O)O,0.35
C=C(C)C(=O)OC,1.38
O=Nc1ccc(NO)cc1,1.49
Nc1cccc(N)c1,-0.33
Nc1ccc(N)cc1,-0.3
CC(=O)Oc1cccc(C)c1,2.09
CC(=O)OCC(COC(C)=O)OC(C)=O,0.25
CC(C)(C)c1ccc(C(=O)O)cc1,3.85
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,3.75
O=CO,-0.54
N#CCCC#N,-0.99
CCCOC(N)=O,0.36
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.93
CCCS(=O)(=O)CCC,0.39
O=C1NS(=O)(=O)c2ccccc21,0.91
CCOc1cccc(O)c1,1.98
CC1=CC(=O)CC(C)(C)C1,1.7
COc1cccc([N+](=O)[O-])c1,2.16
C#Cc1ccccc1,2.53
OCCNCCO,-1.43
COc1ccc(O)cc1,1.58
O=C(O)c1ccc(O)cc1,1.58
Cc1cc(O)ccc1O,0.91
CC(O)CNCC(C)O,-0.82
Cc1cc(O)c(C(C)C)cc1Cl,3.92
CC(=O)N(C)c1ccc(O)cc1,0.61
Oc1ccc(Br)cc1,2.59
CC=NO,-0.13
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.0
CCCCCCCC(=O)O,3.05
CCCCCCCCCC(=O)O,4.09
CCCCCCCCCCCC(=O)O,4.6
CCCCCCCCCCCC(=O)OC,5.41
CCCCCCCCCCCCCC(=O)O,6.11
CCCCCCCCCCCCCC(=O)OC,6.41
CCCCCCCCCCCCCCCC(=O)O,7.17
NC(N)=S,-1.08
O=Nc1ccc2ccccc2c1O,2.46
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.07
Cn1cnc2c1c(=O)[nH]c(=O)n2C,-0.78
O=NN(Cc1ccccc1)c1ccccc1,3.38
CN1CCCC1c1cccnc1,1.17
CC(O)=NO,-1.59
Ic1cccnc1,1.8
Fc1ccccn1,0.84
Fc1cccnc1,0.77
O=[N+]([O-])c1cc[n+]([O-])cc1,-0.55
C1=C\C=C/C=C\C=C/1,3.08
CCc1ccccc1[N+](=O)[O-],2.58
Cc1ccc(CN)cc1,1.46
CC(C)c1ccccc1O,2.88
CC(C)c1cccc(C(C)C)c1O,3.79
CC1(C)OC(=O)c2ccccc21,1.73
COC(=O)/C=C/C(=O)OC,0.74
C=CC(=O)OCCCC,2.36
C1CCCCCC1,4.0
COc1ccccc1OCC(=O)O,0.98
Cc1cccc(C)c1C,3.66
OC1CCCc2ccccc21,1.98
O=C1c2ccccc2-c2ccccc21,3.58
O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2,3.37
C(#Cc1ccccc1)c1ccccc1,4.78
O=C1c2ccccc2-c2cccc3cccc1c23,4.81
Oc1ccc(C2CCCCC2)cc1,4.22
OCc1ccc(Cl)cc1,1.96
CCOC(OCC)OCC,1.2
c1ccc2c(c1)CCC2,3.18
Cc1ccccc1OCC(=O)O,1.98
COc1ccc(/C=C/C(=O)O)cc1,2.68
CCOC(=O)C(O)c1ccccc1,1.53
O=C(O)C1c2ccccc2-c2ccccc21,2.8
Cc1ccc(C(O)c2ccccc2)cc1,3.13
NS(=O)(=O)c1ccccc1,0.31
CN(C)Cc1ccccc1,1.98
O=C(O)c1ccccc1C(=O)O,0.73
CCCC(C)=O,0.91
Cc1cc(C)c(O)c(C)c1,2.73
Nc1ccccc1N,0.15
CN(C)C=O,-1.01
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,2.82
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1.93
CC(C)[N+](=O)[O-],0.93
Nc1ccc([N+](=O)[O-])cc1N,0.88
N#Cc1cccc([N+](=O)[O-])c1,1.17
N#Cc1ccc([N+](=O)[O-])cc1,1.19
Cc1ccc(Cl)cc1[N+](=O)[O-],3.05
Cc1ccc(O)c([N+](=O)[O-])c1,2.37
O=[N+]([O-])c1cccc(CO)c1,1.21
O=[N+]([O-])c1ccc(CO)cc1,1.26
CNc1ccc([N+](=O)[O-])cc1,2.04
N#CCCCCCC#N,0.05
N#CCc1ccc([N+](=O)[O-])cc1,1.37
CC(=O)Oc1ccccc1[N+](=O)[O-],1.55
O=C(O)Cc1ccc([N+](=O)[O-])cc1,1.39
Cc1cccc([N+](=O)[O-])c1C,2.83
