smiles,logP,pH,Temperature
CN(CCCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])CCCNC(=O)c1cccc2cccnc12,0.15,7.4,
CN(CCCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])CCCNC(=O)c1cccc2nc3ccccc3nc12,0.59,7.4,
CN(CCCNC(=O)c1cccc2ccc(-c3ccncc3)nc12)CCCNc1n[n+]([O-])c2ccccc2[n+]1[O-],0.66,7.4,
CN(CCCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])CCCNC(=O)c1cccc2cc3ccccc3nc12,1.53,7.4,
Cc1cccc2nc3cccc(C(=O)NCCCN(C)CCCN=c4[nH][n+]([O-])c5ccccc5[n+]4[O-])c3nc12,1.4,7.4,
Cc1cccc2cc3cccc(C(=O)NCCCN(C)CCCN=c4[nH][n+]([O-])c5ccccc5[n+]4[O-])c3nc12,2.28,7.4,
O=C(NCCOCCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])c1cccc2cc3ccccc3nc12,1.84,7.4,
CN(CCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])CCNC(=O)c1cccc2cc3ccccc3nc12,2.15,7.4,
O=C(NCCNCCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])c1cccc2cc3ccccc3nc12,1.36,7.4,
O=C(NCCCNCCCNc1n[n+]([O-])c2ccccc2[n+]1[O-])c1cccc2cc3ccccc3nc12,0.88,7.4,
CCOC(=O)C(Cc1ccc(OC(=O)N(C)C)cc1)NC(=O)C1N(S(=O)(=O)c2cnn(C)c2)CSC1(C)C,2.14,5.5,
CC(C)OC(=O)C(Cc1ccc(OC(=O)N(C)C)cc1)NC(=O)C1N(S(=O)(=O)c2cnn(C)c2)CSC1(C)C,2.46,5.5,
CN(C)C(=O)Oc1ccc(CC(NC(=O)C2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCC(C)(C)C)cc1,3.42,5.5,
CN(C)C(=O)Oc1ccc(CC(NC(=O)C2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCOC(=O)C(C)(C)C)cc1,3.14,5.5,
COCCOCCOC(=O)C(Cc1ccc(OC(=O)N(C)C)cc1)NC(=O)C1N(S(=O)(=O)c2cnn(C)c2)CSC1(C)C,1.41,5.5,
CN(C)C(=O)Oc1ccc(CC(NC(=O)C2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCCOc2ccccc2)cc1,3.27,5.5,
COc1ccc(O)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,2.78,7.4,
COc1ccc(OC)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,3.65,7.4,
COc1ccc(OCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,3.7,7.4,
COc1ccc(OCCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,3.81,7.4,
COc1ccc(OCI)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,4.02,7.4,
COc1ccc(OCCOS(=O)(=O)c2ccc(C)cc2)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,4.65,7.4,
C[N+](C)(C)[N-]C(=O)CCCCC(=O)[N-][N+](C)(C)C,-1.22,,
C[N+](C)(C)[N-]C(=O)c1ccc([N+](=O)[O-])cc1,-0.15,,
C[N+](C)(C)[N-]C(=O)c1ccccc1,-0.11,,
COc1ccc(C(=O)[N-][N+](C)(C)C)cc1,-0.03,,
CC[N+](C)(C)[N-]C(=O)C(O)(c1ccccc1)c1ccccc1,0.87,,
C[N+](C)(C)[N-]C(=O)c1ccc(Br)cc1,0.97,,
CC[N+](C)(C)[N-]C(=O)C(O)(c1ccc(F)cc1)c1ccc(F)cc1,1.52,,
CC[N+](C)(C)[N-]C(=O)C(O)(c1ccc(C)cc1)c1ccc(C)cc1,1.75,,
CCOC(=O)C(Cc1ccc(OC)c(OC)c1)=NC=O,1.97,,
CCOC(=O)C(C=CCc1ccccc1)=NC=O,2.91,,
CCOC(=O)C(Cc1ccc(OC)cc1)=NC=O,2.22,,
CCOC(=O)C(Cc1ccc2c(c1)OCO2)=NC=O,1.66,,
