logP,smiles,Temperature,pH
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,5.9
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,6.08
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,4.9
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.06
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.12
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.1
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.02
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.07
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,6.9
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,6.33
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.17
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.91
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.82
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.57
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,2.04
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.53
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,1.17
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,1.88
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.56
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,25.0,5.29
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,25.0,3.05
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,7.48
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.2
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,2.41
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.3
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.08
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.5
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.5
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.14
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.0
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.6
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.0
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,1.24
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,3.39
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,2.92
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,7.3
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,3.57
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.32
2.89,CCc1ccc(C(=O)O)cc1,22.0,3.0
0.87,CC(C)COC(=O)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
0.89,CCCCOC(=O)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
-2.26,NC(Cc1ccc(O)cc1)C(=O)O,25.0,7.0
0.95,C=CCC1(CC)C(=O)NC(=O)NC1=O,23.0,3.5
-1.66,N=c1[nH]c(=O)c2ncn(COC(CO)CO)c2[nH]1,23.0,7.0
0.97,CCC1(C(C)C)C(=O)NC(=O)NC1=O,33.0,5.0
0.97,CCC1(C(C)C)C(=O)NC(=O)NC1=O,33.0,7.9
1.15,CCC1(CC)C(=O)NC(=O)N(C)C1=O,25.0,8.3
1.15,CCC1(CC)C(=O)NC(=O)N(C)C1=O,25.0,4.7
0.66,CCCC1(CC)C(=O)NC(=O)NC1=O,25.0,5.0
0.97,CCC1(C(C)C)C(=O)NC(=O)NC1=O,25.0,5.0
0.97,CCC1(C(C)C)C(=O)NC(=O)NC1=O,25.0,7.9
2.93,CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,20.0,10.0
0.95,CCC(CC)(C(=O)NC(N)=O)C(=O)OC,23.0,3.5
2.69,CCN=c1[nH]c(OC)nc(=NC(C)C)[nH]1,26.0,7.0
2.98,CCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,26.0,3.0
3.68,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,25.0,5.0
3.68,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,25.0,7.2
2.04,[O-][n+]1nc(-n2ccnc2)nc2ccc(Cl)cc21,20.0,4.0
