,logP,smiles,Temperature,pH
1754,3.95,[H][c]1[s][c]([C]([H])([H])[C]([H])([H])[N]2[C]([H])([H])[C]([H])([H])[C]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])([C]([H])([H])[O][C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,6.64
1755,3.95,[H][c]1[s][c]([C]([H])([H])[C]([H])([H])[N]2[C]([H])([H])[C]([H])([H])[C]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])([C]([H])([H])[O][C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,6.45
1756,3.95,[H][c]1[s][c]([C]([H])([H])[C]([H])([H])[N]2[C]([H])([H])[C]([H])([H])[C]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])([C]([H])([H])[O][C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,6.15
1757,3.95,[H][c]1[s][c]([C]([H])([H])[C]([H])([H])[N]2[C]([H])([H])[C]([H])([H])[C]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])([C]([H])([H])[O][C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,5.66
1758,3.95,[H][c]1[s][c]([C]([H])([H])[C]([H])([H])[N]2[C]([H])([H])[C]([H])([H])[C]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])([C]([H])([H])[O][C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],25.0,7.4
1764,3.5,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C@@]([H])([C]([H])([H])[H])[C@@]1([H])[C]([H])([H])[C]([H])([H])[C@]2([H])[C]1([C]([H])([H])[H])[C@@]([H])([O][H])[C]([H])([H])[C@]1([H])[C@@]3([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C@@]([H])([O][H])[C]([H])([H])[C@@]3([H])[C]([H])([H])[C]([H])([H])[C@@]21[H],37.0,2.4
1765,3.5,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C@@]([H])([C]([H])([H])[H])[C@@]1([H])[C]([H])([H])[C]([H])([H])[C@]2([H])[C]1([C]([H])([H])[H])[C@@]([H])([O][H])[C]([H])([H])[C@]1([H])[C@@]3([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C@@]([H])([O][H])[C]([H])([H])[C@@]3([H])[C]([H])([H])[C]([H])([H])[C@@]21[H],20.0,3.0
1766,4.15,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C]([H])([C]([H])([H])[H])[C]1([H])[C]([H])([H])[C]([H])([H])[C]2([H])[C]3([H])[C]([H])([O][H])[C]([H])([H])[C]4([H])[C]([H])([H])[C]([H])([O][H])[C]([H])([H])[C]([H])([H])[C]4([C]([H])([H])[H])[C]3([H])[C]([H])([H])[C]([H])([H])[C]12[C]([H])([H])[H],20.0,3.0
1767,4.15,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C]([H])([C]([H])([H])[H])[C]1([H])[C]([H])([H])[C]([H])([H])[C]2([H])[C]3([H])[C]([H])([O][H])[C]([H])([H])[C]4([H])[C]([H])([H])[C]([H])([O][H])[C]([H])([H])[C]([H])([H])[C]4([C]([H])([H])[H])[C]3([H])[C]([H])([H])[C]([H])([H])[C]12[C]([H])([H])[H],30.0,3.0
1768,4.15,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C]([H])([C]([H])([H])[H])[C]1([H])[C]([H])([H])[C]([H])([H])[C]2([H])[C]3([H])[C]([H])([O][H])[C]([H])([H])[C]4([H])[C]([H])([H])[C]([H])([O][H])[C]([H])([H])[C]([H])([H])[C]4([C]([H])([H])[H])[C]3([H])[C]([H])([H])[C]([H])([H])[C]12[C]([H])([H])[H],37.0,2.4
