,logP,smiles,Temperature,pH
2594,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],25.0,4.56
2595,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],25.0,2.0
2596,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],25.0,6.0
2600,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],25.0,8.0
2603,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],25.0,9.08
2607,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],25.0,3.0
2608,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],25.0,8.55
2609,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],25.0,4.0
2610,-0.37,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[C](=[O])[N]([C]([H])([H])[H])[C]([H])([H])[H],22.0,4.0
2611,0.35,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[H],22.0,4.0
2623,-0.02,[H][c]1[n][c]2[c](=[O])[n]([C]([H])([H])[H])[c](=[O])[n]([C]([H])([H])[H])[c]2[n]1[H],37.0,7.4
2624,-0.02,[H][c]1[n][c]2[c](=[O])[n]([C]([H])([H])[H])[c](=[O])[n]([C]([H])([H])[H])[c]2[n]1[H],37.0,4.5
2714,0.48,[H][O][C]1([H])[c]2[s][c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[S][C]([H])([H])[C]1([H])[H],25.0,7.4
2715,0.68,[H][O][C]1([H])[c]2[c]([s][c]([S](=[O])(=[O])[N]([H])[H])[c]2[H])[S][C]([H])([H])[C]1([H])[H],25.0,7.4
2716,-0.44,[H][O][C]1([H])[C]([H])([H])[c]2[c]([s][c]([S](=[O])(=[O])[N]([H])[H])[c]2[H])[S](=[O])(=[O])[C]1([H])[H],25.0,7.4
2717,-0.59,[H][O][C]1([H])[c]2[s][c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[S](=[O])(=[O])[C]([H])([H])[C]1([H])[H],25.0,7.4
2718,-0.7,[H][O][C]1([H])[C]([H])([H])[c]2[s][c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[S](=[O])(=[O])[C]1([H])[H],25.0,7.4
2742,2.18,[H][N]([c]1[n][c]([Cl])[n][c]([N]([H])[C]([H])([H])[C]([H])([H])[H])[n]1)[C]([H])([H])[C]([H])([H])[H],26.0,7.0
2744,2.18,[H][N]([c]1[n][c]([Cl])[n][c]([N]([H])[C]([H])([H])[C]([H])([H])[H])[n]1)[C]([H])([H])[C]([H])([H])[H],26.0,3.0
2885,1.15,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[C](=[O])[N]([H])[C]2=[O],25.0,5.4053
2886,1.48,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([C]#[N])[c]1[H],25.0,1.0
2898,2.81,[H][O][C](=[O])[C]([H])([H])[O][c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[Cl],25.0,1.0
2919,-0.47,[H]/[C](=[N]\[N]1[C](=[O])[N]([H])[C](=[O])[C]1([H])[H])[c]1[o][c]([N+](=[O])[O-])[c]([H])[c]1[H],37.0,7.2
2923,-0.47,[H]/[C](=[N]\[N]1[C](=[O])[N]([H])[C](=[O])[C]1([H])[H])[c]1[o][c]([N+](=[O])[O-])[c]([H])[c]1[H],25.0,7.0
2925,-0.47,[H]/[C](=[N]\[N]1[C](=[O])[N]([H])[C](=[O])[C]1([H])[H])[c]1[o][c]([N+](=[O])[O-])[c]([H])[c]1[H],22.0,1.2
2927,-0.47,[H]/[C](=[N]\[N]1[C](=[O])[N]([H])[C](=[O])[C]1([H])[H])[c]1[o][c]([N+](=[O])[O-])[c]([H])[c]1[H],25.0,6.5
2929,-0.47,[H]/[C](=[N]\[N]1[C](=[O])[N]([H])[C](=[O])[C]1([H])[H])[c]1[o][c]([N+](=[O])[O-])[c]([H])[c]1[H],37.0,5.0
2930,-0.47,[H]/[C](=[N]\[N]1[C](=[O])[N]([H])[C](=[O])[C]1([H])[H])[c]1[o][c]([N+](=[O])[O-])[c]([H])[c]1[H],37.0,4.8
3068,2.36,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[H],21.0,7.4
3098,1.43,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([O][H])[c]([O][C]([H])([H])[H])[c]1[H],14.0,3.3
3211,-0.96,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.9
3212,-0.96,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.6
3213,-0.96,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,7.0
3214,-0.04,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]([H])[c]1[N]([H])[C](=[O])[C]([H])([H])[H],20.0,4.9
3219,-0.96,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.8
3221,-0.96,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.6
3222,-0.96,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.3
3224,-0.96,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.5
3226,-0.96,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],20.0,4.9
3297,-2.12,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([H])[N]([H])[H])[c]([H])[c]1[H],15.0,10.0
3299,1.28,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],22.0,7.4
3306,-1.56,[H][O][C]([H])([H])[C]([H])([H])[O][C]([H])([H])[n]1[c]([H])[n][c]2[c](=[O])[n]([H])[c]([N]([H])[H])[n][c]21,37.0,7.4
3315,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],33.0,7.9
3317,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],30.0,7.02
3319,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],30.0,6.91
3320,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],30.0,6.82
3321,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],30.0,7.08
3322,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],30.0,6.42
3323,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],30.0,6.78
3324,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],30.0,6.24
3325,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],30.0,6.04
3331,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],25.0,7.43
3332,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],33.0,4.9
3333,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],25.0,7.9
3340,0.65,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],30.0,6.66
3379,-0.56,[H][c]1[s][c]([N]=[C]([N]([H])[H])[N]([H])[H])[n][c]1[C]([H])([H])[S][C]([H])([H])[C]([H])([H])/[C](=[N]/[S](=[O])(=[O])[N]([H])[H])[N]([H])[H],25.0,6.48
3381,-0.56,[H][c]1[s][c]([N]=[C]([N]([H])[H])[N]([H])[H])[n][c]1[C]([H])([H])[S][C]([H])([H])[C]([H])([H])/[C](=[N]/[S](=[O])(=[O])[N]([H])[H])[N]([H])[H],25.0,9.06
3383,-0.56,[H][c]1[s][c]([N]=[C]([N]([H])[H])[N]([H])[H])[n][c]1[C]([H])([H])[S][C]([H])([H])[C]([H])([H])/[C](=[N]/[S](=[O])(=[O])[N]([H])[H])[N]([H])[H],25.0,6.09
3384,-0.56,[H][c]1[s][c]([N]=[C]([N]([H])[H])[N]([H])[H])[n][c]1[C]([H])([H])[S][C]([H])([H])[C]([H])([H])/[C](=[N]/[S](=[O])(=[O])[N]([H])[H])[N]([H])[H],25.0,7.83
3386,-0.56,[H][c]1[s][c]([N]=[C]([N]([H])[H])[N]([H])[H])[n][c]1[C]([H])([H])[S][C]([H])([H])[C]([H])([H])/[C](=[N]/[S](=[O])(=[O])[N]([H])[H])[N]([H])[H],25.0,7.54
3387,-0.56,[H][c]1[s][c]([N]=[C]([N]([H])[H])[N]([H])[H])[n][c]1[C]([H])([H])[S][C]([H])([H])[C]([H])([H])/[C](=[N]/[S](=[O])(=[O])[N]([H])[H])[N]([H])[H],25.0,8.71
3389,-0.56,[H][c]1[s][c]([N]=[C]([N]([H])[H])[N]([H])[H])[n][c]1[C]([H])([H])[S][C]([H])([H])[C]([H])([H])/[C](=[N]/[S](=[O])(=[O])[N]([H])[H])[N]([H])[H],25.0,6.89
3390,-0.56,[H][c]1[s][c]([N]=[C]([N]([H])[H])[N]([H])[H])[n][c]1[C]([H])([H])[S][C]([H])([H])[C]([H])([H])/[C](=[N]/[S](=[O])(=[O])[N]([H])[H])[N]([H])[H],25.0,8.2
3485,3.39,[H][c]1[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]([H])[c]([H])[c]1[Cl],25.0,7.2
3487,3.38,[H][c]1[c]([H])[c]([Cl])[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]1[H],25.0,5.0
3489,3.39,[H][c]1[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]([H])[c]([H])[c]1[Cl],25.0,3.0
3490,3.39,[H][c]1[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]([H])[c]([H])[c]1[Cl],25.0,5.0
3491,3.38,[H][c]1[c]([H])[c]([Cl])[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]1[H],25.0,7.2
3492,3.38,[H][c]1[c]([H])[c]([Cl])[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]1[H],25.0,3.0
3494,2.9,[H][c]1[c]([H])[c]([H])[c]([N+](=[O])[O-])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]1[H],25.0,5.0
3495,2.9,[H][c]1[c]([H])[c]([H])[c]([N+](=[O])[O-])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]1[H],25.0,7.2
3496,2.37,[H][c]1[c]([H])[c]([N+](=[O])[O-])[c]([H])[c]([H])[c]1[N]([H])[N]=[C]([C]#[N])[C]#[N],25.0,5.0
3497,2.37,[H][c]1[c]([H])[c]([N+](=[O])[O-])[c]([H])[c]([H])[c]1[N]([H])[N]=[C]([C]#[N])[C]#[N],25.0,7.2
3504,0.83,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[C]([H])([H])[H],37.0,10.66
3512,2.37,[H][c]1[c]([H])[c]([N+](=[O])[O-])[c]([H])[c]([H])[c]1[N]([H])[N]=[C]([C]#[N])[C]#[N],25.0,3.0
3513,2.9,[H][c]1[c]([H])[c]([H])[c]([N+](=[O])[O-])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]1[H],25.0,3.0
3525,2.64,[H][c]1[c]([H])[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]([H])[c]1[H],25.0,7.2
3527,2.64,[H][c]1[c]([H])[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]([H])[c]1[H],25.0,5.0
3528,2.64,[H][c]1[c]([H])[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]([H])[c]1[H],25.0,3.0
3529,2.28,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]1[H],25.0,3.0
3530,2.28,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]1[H],25.0,5.0
3531,2.28,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]([N]([H])[N]=[C]([C]#[N])[C]#[N])[c]1[H],25.0,7.2
3555,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,7.75
3556,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,6.36
3558,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,8.55
3559,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,5.83
3560,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,9.57
3562,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,4.03
3564,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,9.7
3565,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,9.83
3566,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,9.95
3567,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,9.76
3569,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,20.0,11.07
3572,1.96,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]2[c]([H])[c]([H])[c]([H])[n][c]12,25.0,7.36
3587,1.77,[H][c]1[n][n][s][c]1[N]([H])[C](=[O])[N]([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],25.0,7.0
3595,2.13,[H][O][C](=[O])/[C]([H])=[C](\[H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],25.0,3.48
3602,2.13,[H][O][C](=[O])/[C]([H])=[C](/[H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],18.0,2.62
3603,1.19,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][C](=[O])[C]([H])([H])[H],30.0,3.0
3607,1.19,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][C](=[O])[C]([H])([H])[H],25.0,2.0
3614,1.19,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][C](=[O])[C]([H])([H])[H],25.0,4.0
3616,1.19,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][C](=[O])[C]([H])([H])[H],22.0,7.4
3620,1.19,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][C](=[O])[C]([H])([H])[H],22.0,5.0
3621,1.19,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][C](=[O])[C]([H])([H])[H],25.6,4.33
3622,1.19,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][C](=[O])[C]([H])([H])[H],25.0,6.5
3624,1.19,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][C](=[O])[C]([H])([H])[H],37.0,1.0
3625,1.19,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][C](=[O])[C]([H])([H])[H],22.0,1.2
3660,1.52,[H][c]1[c]([H])[c]([H])[c]2[c]([n][c]([N]([H])[C](=[O])[O][C]([H])([H])[H])[n]2[H])[c]1[H],20.0,8.0
3664,1.52,[H][c]1[c]([H])[c]([H])[c]2[c]([n][c]([N]([H])[C](=[O])[O][C]([H])([H])[H])[n]2[H])[c]1[H],20.0,7.0
3668,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,6.75
3669,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.89
3670,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,7.51
3671,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,7.25
3672,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,7.28
3673,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,7.3
3674,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,7.23
3675,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.59
3676,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.4
3677,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,7.64
3678,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.68
3679,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.71
3680,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.44
3681,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,7.61
3682,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,6.5
3686,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.35
3687,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,8.06
3690,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.81
3691,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,4.61
3693,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.9
3694,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.79
3695,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,6.48
3697,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,6.67
3698,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,6.85
3699,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,6.88
3700,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,6.49
3701,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,6.72
3702,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,7.38
3703,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,7.32
3705,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,6.32
3706,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,6.17
3708,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,6.12
3709,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,5.8
3710,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,5.89
3715,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.78
3717,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,5.9
3718,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,6.08
3719,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,4.9
3721,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.06
3722,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.12
3723,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.1
3724,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.02
3725,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,7.07
3726,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],37.0,6.9
3727,0.05,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[s][c]1[H],25.0,6.33
3759,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.17
3760,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.91
