,smiles,logP,pH,Temperature
84892,CC(C)C(N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.91,7.0,25.0
84893,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.25,7.0,25.0
84894,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(O)=O,-0.51,7.0,25.0
84895,CC(C)C(N)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.51,7.0,25.0
84896,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(C)N)C(C)C)C(O)=O,-1.74,7.0,25.0
84897,CC(C)CC(N)C(=O)NC(C)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.78,7.0,25.0
84898,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,1.63,7.0,25.0
84899,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.42,7.0,25.0
84900,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.0,7.0,25.0
84901,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.24,7.0,25.0
84902,CCC(C)C(N)C(=O)NC(C(C)CC)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(O)=O,-1.41,7.0,25.0
84903,CCC(C)C(N)C(=O)NC(C(C)CC)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.99,7.0,25.0
84904,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,0.17,7.0,25.0
84905,CC(C)CC(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(N)C(C)C)C(C)C)C(O)=O,-1.23,7.0,25.0
84906,CC(C)CC(NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(O)=O,0.23,7.0,25.0
84907,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(N)CC1=CNC2=CC=CC=C12)C(O)=O,0.06,7.0,25.0
84908,CCC(C)C(NC(=O)C(N)CC1=CC=C(O)C=C1)C(=O)NC(CC(C)C)C(=O)NCC(O)=O,-1.49,7.0,25.0
84909,CC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.32,7.0,25.0
84910,CCC(C)C(N)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(C(C)CC)C(=O)NC(C(C)C)C(O)=O,-1.09,7.0,25.0
84911,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)C(C)C)C(=O)NC(C(C)O)C(O)=O,-1.32,7.0,25.0
84912,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(N)CCSC)C(C)CC)C(O)=O,-0.49,7.0,25.0
