,smiles,logP
3217,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,4.29
3219,CC(=O)c1ccc(N)cc1,0.83
3222,CCOC(=O)Nc1ccccc1,2.3
3228,CCC(N)C(=O)O,-2.54
3229,O=C(O)CCc1c[nH]c2ccccc12,1.75
3243,Nc1nc(N)nc(-c2ccccc2)n1,1.36
3263,NC(=S)Nc1cccc2ccccc12,1.65
3322,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,2.36
3323,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,2.62
3336,CC(=O)Nc1ccccc1C,0.85
3362,c1ccc2cnccc2c1,2.08
3363,c1ccc2ncccc2c1,2.03
3364,Cc1ccc2ccccc2n1,2.59
3374,N#CCc1ccccc1,1.56
3375,c1ccc2nc3ccccc3cc2c1,3.4
3376,Cc1ccccn1,1.11
3378,Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,3.57
3379,Cc1ccnc2ccccc12,2.61
3405,O=[N+]([O-])Cc1ccccc1,1.75
3464,c1ccc2c(c1)[nH]c1ccccc12,3.72
3466,Nc1ccc(-c2ccc(N)cc2)cc1,1.34
3468,CNc1ccccc1,1.66
3469,COC(=O)c1ccc(C(=O)OC)cc1,2.25
3470,O=Cc1cccc(O)c1,1.38
3473,CCNC(=S)NCC,0.57
3476,c1ccc(NNc2ccccc2)cc1,2.94
3490,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,3.51
3492,O=[N+]([O-])c1ccc(Br)cc1,2.55
3500,CCCCOCCOCCSC#N,1.68
3504,O=[N+]([O-])c1cccc(I)c1,2.94
3511,Nc1ccc(Cl)cc1[N+](=O)[O-],2.72
3523,NNC(=O)c1cccc([N+](=O)[O-])c1,0.23
3538,Cc1cccc2ccccc12,3.87
3539,Cc1ccc2ccccc2c1,3.86
3540,CCC(CO)(CO)CO,-1.48
3595,CC(C)(O)C(F)(F)F,1.04
3599,CC(O)C(F)(F)F,0.71
3603,CC(=O)c1ccccc1[N+](=O)[O-],1.28
3607,CCCCC[N+](=O)[O-],2.01
3610,CCCC[N+](=O)[O-],1.47
3613,CC(C)(C)[N+](=O)[O-],1.17
3622,CC(C)C[N+](=O)[O-],1.4
3657,Cc1ccc(O)cc1,1.94
3658,CC(C)(C)c1ccc(O)cc1,3.31
3659,CC(=O)c1ccc(O)cc1,1.35
