,smiles,logP,pH,Temperature
181,OC1=C2NC(=O)SC2=C(CCNCCCNS(=O)(=O)CCOCC2=C3C=CC=CC3=CC=C2)C=C1,1.69,7.4,
182,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)NCCOCCC2=CC=C(F)C=C2)C=C1,1.57,7.4,
183,CC1=CC=CC=C1CCOCCCS(=O)(=O)CCNCCC1=C2SC(=O)NC2=C(O)C=C1,2.84,7.4,
184,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCSC2=CC=CC=C2)C=C1,2.68,7.4,
185,CC(COCCCS(=O)(=O)CCNCCC1=C2SC(=O)NC2=C(O)C=C1)C1=CC=CC=C1,2.32,7.4,
186,CN(CCCOCCOCCC1=CC=CC=C1)CCC1=C2SC(=O)NC2=C(O)C=C1,2.44,7.4,
187,CC1=CC=C(CCCOCCS(=O)(=O)CCCNCCC2=C3SC(=O)NC3=C(O)C=C2)S1,2.41,7.4,
188,CCCN(CCCOCCOCCC1=CC=CC=C1)CCC1=C2SC(=O)NC2=C(O)C=C1,2.74,7.4,
189,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)NCCOCCC2=CC=CC(=C2)C(F)(F)F)C=C1,2.62,7.4,
190,CC1=CC(CCOCCS(=O)(=O)NCCNCCC2=C3SC(=O)NC3=C(O)C=C2)=CC(C)=C1,2.59,7.4,
191,CN(CCN(C)C(=O)CCOCCC1=CC=CC=C1)CCC1=C2SC(=O)NC2=C(O)C=C1,2.59,7.4,
192,CC(CC1=CC=CC=C1)OCCCS(=O)(=O)CCNCCC1=C2SC(=O)NC2=C(O)C=C1,1.81,7.4,
193,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)NCCOCCC2=CC=CC(Cl)=C2)C=C1,1.92,7.4,
194,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)NCCOCCSC2=CC=CC=C2)C=C1,1.84,7.4,
195,CC1=CC=C(CCOCCNS(=O)(=O)CCCNCCC2=C3SC(=O)NC3=C(O)C=C2)C=C1,2.07,7.4,
196,CC1=NC(=CC=C1)C#CC1=CC=CC=C1,3.5,,
197,S1C=CN=C1C#CC1=CC=CC=C1,3.2,,
198,S1C=NC(=C1)C#CC1=CC=CC=C1,2.6,,
199,CC1=CSC(=N1)C#CC1=CC=CC=C1,3.6,,
200,CC1=NC(=CS1)C#CC1=CC=CC=C1,3.3,,
201,CC1=NC(=CS1)C#CC1=CC=CC=N1,1.9,,
202,CC1=NC(=CS1)C#CC1=CC=CN=C1,2.1,,
203,CC1=NC(=CS1)C#CC1=CC=NC=C1,2.1,,
204,COC(=O)CC(CN)C1=CC=C(Cl)C=C1,0.48,7.3,
205,CCOC(=O)CC(CN)C1=CC=C(Cl)C=C1,0.77,7.3,
206,CCCOC(=O)CC(CN)C1=CC=C(Cl)C=C1,1.31,7.3,
207,CC(C)OC(=O)CC(CN)C1=CC=C(Cl)C=C1,1.27,7.3,
208,CCCCOC(=O)CC(CN)C1=CC=C(Cl)C=C1,1.42,7.3,
209,CN1C2=CC=CC=C2C(NCC1=O)(C(OC1=NC(C)=CC(C)=N1)C(O)=O)C1=CC=CC=C1,-2.0,7.4,
